Date,Artist,Song Name,Song Korean Name,Song Type
2/23/2021,KEEMBO,Inside,인사이드,Major
2/17/2021,TRI.BE,DOOM DOOM TA,둠둠타,Major
2/15/2021,Soyou X IZ*ONE,ZERO:ATTITUDE,,CF
2/5/2021,aespa,Forever,약속,Special
2/5/2021,Momoland,Wrap Me In Plastic,,Special
2/5/2021,(G)I-DLE,HWAA (Dimitri Vegas & Like Mike Remix),,Special
2/3/2021,Purple Kiss,Can We Talk Again,캔 위 토크 어게인,Minor
1/26/2021,Mamamoo,AYA -Japanese ver.-,,Japanese
1/26/2021,Dreamcatcher,Odd Eye,오드아이,Major
1/22/2021,Saturday,Only You,,Minor
1/21/2021,Pink Fantasy,Lemon Candy,레몬사탕,Minor
1/20/2021,Cherry Bullet,Love So Sweet,,Major
1/19/2021,Mamamoo,Dingga -Japanese ver.-,,Japanese
1/19/2021,Berry Good,Time for Me,할래,Major
1/11/2021,(G)I-DLE,HWAA,화,Major
1/7/2021,KEEMBO,LOVE ME 4 ME,,Major
1/3/2021,I.C.E,Oh My God (Performance Video),오마이갓,Special
1/2/2021,woo!ah!,I Don't Miss You,,Minor
12/7/2020,IZ*ONE,Panorama,,Major
11/26/2020,Chungha,Dream of You (with R3HAB),,Major
11/26/2020,Purple Kiss,My Heart Skip a Beat,,Special
11/25/2020,NiziU,Step and a step,,Japanese
11/24/2020,woo!ah!,Bad Girl,,Major
11/23/2020,KEEMBO,Scene,씬,Major
11/19/2020,Dreamcatcher,No More,,Japanese
11/18/2020,Loona,Star,,Major
11/17/2020,Bling Bling,G.G.B,,Major
11/17/2020,Momoland,Ready or Not,,Major
11/17/2020,aespa,Black Mamba,블랙 맘바,Major
11/12/2020,Oh My Girl,Etoile,,Japanese
11/12/2020,STAYC,So Bad,,Major
11/10/2020,Twice,Better,,Japanese
11/9/2020,GFRIEND,Mago,마고,Major
11/6/2020,PRISMA,Breakout (ver. 2),,Major
11/4/2020,Berry Good,Accio,함께떠나요,Major
11/4/2020,SECRET NUMBER,Got That Boom,,Major
11/3/2020,GIRLKIND,Psycho 4U,싸이코4U,Major
11/3/2020,Mamamoo,AYA,아야,Major
10/31/2020,PRISMA,Breakout,,Major
10/26/2020,Twice,I Can't Stop Me,아이캔트스탑미,Major
10/20/2020,Mamamoo,Dingga,딩가딩가,Major
10/19/2020,LOONA,Why Not?,와이낫,Major
10/16/2020,Blackswan,Tonight,투나잇,Major
10/14/2020,HINT,EH-OH,,Major
10/13/2020,Weeekly,Zig Zag,,Major
10/8/2020,Weki Meki,Cool,쿨,Major
10/8/2020,HeyGirls,Follow Me (5 member ver.),팔로우해봐,Special
10/7/2020,WJSN Chocome,Hmph!,흥칫뿡,Major
10/6/2020,IZ*ONE,Beware,,Japanese
10/1/2020,BLACKPINK,Lovesick Girls,러브식걸스,Major
10/1/2020,AURA,NOW,,Special
9/23/2020,flor_us,Do not Forget,잊지 않기로 해,Major
9/22/2020,Q6ix,Hello Summer,,Major
9/22/2020,Precious,Bebe,놀라도 돼!,Major
9/22/2020,XUM,DDALALA,따라라,Major
9/22/2020,cignature,Arisong,아리송,Major
9/21/2020,EVERGLOW,LA DI DA,라디다,Major
9/19/2020,Dreamcatcher,Break The Wall,,Special
9/18/2020,Rockit Girl,Dream Come True,이루어져라,Major
9/16/2020,fromis_9,Feel Good (SECRET CODE),,Major
9/10/2020,Mamamoo,Wanna Be Myself,,CF
9/10/2020,Serri (Dal Shabet),Come On,다가와,Major
9/2/2020,LUNARSOLAR,Oh Ya Ya Ya,노는 게 제일 좋아,Major
9/2/2020,CLC,Helicopter,,Major
9/1/2020,Lovelyz,Obliviate,오블리비아테,Major
8/27/2020,Twice,FANCY -Japanese ver.-,,Japanese
8/27/2020,Blackpink,Ice Cream (with Selena Gomez),,Major
8/26/2020,Botopass,Flamingo,,Major
8/22/2020,Byulzzi,BBIBBO BBIBBO,,Major
8/21/2020,AREAL,Wake Me Up,,Major
8/19/2020,(G)I-DLE,Oh my god (Japanese ver.),,Japanese
8/19/2020,EXID,B.L.E.S.S.E.D KR ver.,,Minor
8/18/2020,Oh My Girl,Nonstop (Japanese Ver.),,Japanese
8/17/2020,Dreamcatcher,BOCA,,Major
8/17/2020,ITZY,Not Shy,,Major
8/17/2020,Floria,CHITTY CHITTY,,Major
8/14/2020,Brave Girls,We Ride,운전만해,Major
8/6/2020,Cherry Bullet,Aloha Oe,알로하오에,Major
8/4/2020,Rocket Punch,Juicy,,Major
8/4/2020,Maka Maka,Burning Power,버닝파워,Major
8/3/2020,(G)I-DLE,DUMDi DUMDi,덤디덤디,Major
8/3/2020,SATURDAY,D.B.D.B.DIB,,Major
7/31/2020,KEEMBO,99(GU GU),,Major
7/30/2020,BLASTAR,One Way,길,Major
7/30/2020,S.I.S,Don't Wait,기다리지 말아요,Special
7/29/2020,APRIL,Now or Never,,Major
7/23/2020,CHIC&IDLE,3! 4!,,Special
7/19/2020,Red Velvet - IRENE & SEULGI,Naughty,놀이,Minor
7/17/2020,EXID,B.L.E.S.S.E.D,,Japanese
7/14/2020,Pink Fantasy,Shadow Play,그림자,Major
7/13/2020,GFRIEND,Apple,애플,Major
7/13/2020,CSVC,No Mercy,무자비,Major
7/12/2020,GAVY NJ,X-Girlfriend,전 여친,Major
7/10/2020,Pierce,Winner,위너,Major
7/7/2020,(G)I-DLE,I'm The Trend,,Special
7/6/2020,Red Velvet - IRENE SEULGI,Monster,,Major
6/29/2020,3YE,Yessir,,Major
6/29/2020,Weeekly,Tag Me (@Me),태그미,Major
6/26/2020,Blackpink,How You Like That,하우 유 라이크 댓,Major
6/18/2020,Twice,Fanfare,팡파레,Japanese
6/18/2020,Weki Meki,Oopsy,웁시,Major
6/16/2020,NATURE,Girls,어린애,Major
6/15/2020,Hi Cutie,Try Again,,Major
6/15/2020,IZ*One,Secret Story of the Swan,환상동화,Major
6/11/2020,MOMOLAND,Starry Night,,Special
6/10/2020,DIA,Hug U,감싸줄게요,Major
6/9/2020,WJSN,Butterfly,버터플라이,Major
6/1/2020,TWICE,More & More,모얼앤모얼,Major
5/28/2020,MOMOLAND,Tiki Taka,티키타카,CF
5/23/2020,KEEMBO,Scandalous,,Major
5/19/2020,SECRET NUMBER,Who Dis?,,Major
5/18/2020,REDSQUARE,ColorFull,,Major
5/15/2020,woo!ah!,woo!ah!,우아,Major
5/15/2020,Oh My Girl,Dolphin,,Special
5/13/2020,Busters,Paeonia,피오니아,Major
5/13/2020,Bolbbalgan4,Hug,품,Major
5/12/2020,BVNDIT,Jungle,정글,Major
5/7/2020,Bolbbalgan4,Leo feat. Baekhyun,,Major
5/4/2020,FANATICS,VAVI GIRL,,Major
4/28/2020,GWSN,Bazooka!,바주카,Major
4/27/2020,Oh My Girl,Nonstop,살짝 설렜어,Major
4/22/2020,APRIL,LALALILALA,라라리라라,Major
4/20/2020,BVNDIT,Children,,Minor
4/13/2020,Apink,Dumhdurum,덤더럼,Major
4/13/2020,Girlkind,Future,퓨쳐,Major
4/10/2020,KEEMBO,"Thank You, Anyway",,Major
4/6/2020,(G)I-DLE,Oh My God,오마이갓,Major
4/5/2020,cignature,ASSA,아싸,Major
3/21/2020,PURPLEBECK,VALENTi,,Major
3/20/2020,Daydream,Num Num,,Major
3/11/2020,Dreamcatcher,Sahara,,Special
3/10/2020,Favorite,Lie,또 LIE,Major
3/9/2020,ITZY,Wannabe,,Major
3/4/2020,Dreamcatcher,Endless Night,,Japanese
3/3/2020,CRAXY,Aria,,Major
2/29/2020,Chungha,Everybody Has,솔직히 지친다,Special
2/26/2020,ELRIS,Jackpot,,Major
2/21/2020,3YE,Queen,퀸,Major
2/21/2020,ELRIS,This is me (Dance Ver.),,Minor
2/20/2020,Weki Meki,Dazzle Dazzle,대즐대즐,Major
2/18/2020,Dreamcatcher,Scream,,Major
2/18/2020,HighSchool,Timing,타이밍,Major
2/17/2020,IZ*One,Fiesta,,Major
2/11/2020,Cherry Bullet,Hands Up,무릎을 탁 치고,Major
2/10/2020,Rocket Punch,Bouncy,바운시,Major
2/6/2020,BVNDIT,Cool,,Special
2/5/2020,LOONA,So What,,Major
2/4/2020,Mamamoo,HIP -Japanese ver.-,,Japanese
2/3/2020,cignature,Nun Nu Nan Na,눈누난나,Major
2/3/2020,Everglow,Dun Dun,,Major
2/3/2020,GFRIEND,Crossroads,교차로,Major
